film_title,category_name,rental_count,rentalcount_sum
Indian Love,Family,16,67
Jedi Beneath,Family,19,67
Feud Frogmen,Family,25,67
Grease Youth,Family,21,67
Jason Trap,Family,24,67
President Bang,Family,7,67
Siege Madre,Family,15,67
Bedazzled Married,Family,13,67
Blood Argonauts,Family,10,67
Killer Innocent,Family,6,67
Music Boondock,Family,19,67
Pilot Hoosiers,Family,16,67
African Egg,Family,12,67
Pittsburgh Hunchback,Family,12,67
Date Speed,Family,13,67
Bilko Anonymous,Family,13,67
Louisiana Harry,Family,17,67
Homicide Peach,Family,22,67
Opposite Necklace,Family,13,67
Chisum Behavior,Family,13,67
Movie Shakespeare,Family,27,67
Chocolat Harry,Family,20,67
Range Moonwalker,Family,27,67
Finding Anaconda,Family,12,67
Braveheart Human,Family,5,67
Spinal Rocky,Family,13,67
Effect Gladiator,Family,25,67
Willow Tracy,Family,16,67
Lolita World,Family,10,67
Blanket Beverly,Family,12,67
Confused Candles,Family,17,67
Spartacus Cheaper,Family,9,67
Robbery Bright,Family,13,67
Gandhi Kwai,Family,17,67
Rage Games,Family,19,67
Natural Stock,Family,13,67
Bang Kwai,Family,7,67
Dinosaur Secretary,Family,20,67
Gables Metropolis,Family,19,67
Conversation Downhill,Family,17,67
Splash Gump,Family,14,67
Network Peak,Family,31,67
Sunset Racer,Family,8,67
Holiday Games,Foreign,15,67
Talented Homicide,Sports,29,73
Lesson Cleopatra,Sports,7,73
Gunfighter Mussolini,Sports,12,73
Smoochy Control,Sports,12,73
Mosquito Armageddon,Sports,15,73
Seabiscuit Punk,Sports,26,73
Flatliners Killer,Sports,22,73
Victory Academy,Sports,9,73
Northwest Polish,Sports,20,73
Drop Waterfront,Sports,9,73
River Outlaw,Sports,20,73
Rider Caddyshack,Sports,11,73
Peach Innocent,Sports,14,73
Image Princess,Sports,14,73
Mummy Creatures,Sports,16,73
Durham Panky,Sports,26,73
Star Operation,Sports,21,73
Kramer Chocolate,Sports,9,73
Driver Annie,Sports,18,73
Cranes Reservoir,Sports,11,73
Dude Blindness,Sports,16,73
Straight Hours,Sports,20,73
Aladdin Calendar,Sports,23,73
Groove Fiction,Sports,18,73
Neighbors Charade,Sports,19,73
Divorce Shining,Sports,7,73
Sense Greek,Sports,7,73
Instinct Airport,Sports,18,73
Squad Fish,Sports,7,73
Mother Oleander,Sports,14,73
Jade Bunch,Sports,18,73
Joon Northwest,Sports,17,73
Flight Lies,Sports,12,73
Loser Hustler,Sports,15,73
Bubble Grosse,Sports,6,73
Poseidon Forever,Sports,17,73
Pirates Roxanne,Sports,21,73
Mile Mulan,Sports,13,73
Chance Resurrection,Sports,27,73
Pickup Driving,Sports,16,73
Satisfaction Confidential,Sports,17,73
Evolution Alter,Sports,12,73
Novocaine Flight,Sports,19,73
Roses Treasure,Sports,28,73
Holes Brannigan,Sports,15,73
Secretary Rouge,Sports,18,73
Steers Armageddon,Sports,15,73
Caribbean Liberty,Sports,9,73
Gleaming Jawbreaker,Sports,29,73
Crusade Honey,Sports,8,73
Elizabeth Shane,Sports,10,73
Slipper Fidelity,Sports,16,73
Tights Dawn,Sports,26,73
Exorcist Sting,Sports,13,73
Records Zorro,Sports,8,73
Tuxedo Mile,Sports,13,73
Anonymous Human,Sports,13,73
Trading Pinocchio,Sports,25,73
Mermaid Insects,Sports,16,73
Liberty Magnificent,Sports,12,73
Mussolini Spoilers,Sports,5,73
Philadelphia Wife,Sports,23,73
Hysterical Grail,Sports,15,73
Tourist Pelican,Sports,22,73
Shakespeare Saddle,Sports,22,73
Peak Forever,Sports,20,73
Artist Coldblooded,Sports,16,73
Congeniality Quest,Sports,22,73
Sierra Divide,Sports,15,73
California Birds,Sports,12,73
Honey Ties,Sports,19,73
Saturday Lambs,Sports,28,73
Graceland Dynamite,Sports,6,73
